name,total_time,found,error,found.num_mutations,path,source,oop_category,side_effects,opcode_count,max_vm_usage,stats.Evaluated,stats.BankSize,stats.FoundContextCount,stats.MaxMutatingOpcodes,stats.MaxDepth,stats.MaxSize,string_literals,num_literals,iterations,expected,examples_count,var_count
binary_search_tree_height,0.054629,tree.height,,0,tasks/benchmarks/new_ruse/binary_search_tree/binary_search_tree_height.sy,,Full OOP,Without Side Effects,1181,34.197504 MB,16,10,2,0,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 563592}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 53821013}, 'statistics': {'Evaluated': 11, 'BankSize': 5, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 2}}]",['tree.height'],2,1
get-last-wordmodified,0.054807,"_arg_0.slice(1).slice(_arg_0.lastIndexOf("" ""))",,0,tasks/benchmarks/fromSobeq/may/probe/get-last-wordmodified.sy,https=//exceljet.net/formula/get-last-word,Primitive,Without Side Effects,879,29.097984 MB,571,89,4,1,3,8,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 558224}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 51484481}, 'statistics': {'Evaluated': 315, 'BankSize': 33, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 1829322}, 'statistics': {'Evaluated': 256, 'BankSize': 56, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 8}}]","[""_arg_0.replace(' ','').slice(_arg_0.lastIndexOf(' '))"", ""_arg_0.split(' ').slice(-1)[0]"", ""_arg_0.slice(1).slice(_arg_0.lastIndexOf(' '))""]",3,1
stackoverflow1modified,0.054895,"_arg_0.split("" Inc"").shift()",,0,tasks/benchmarks/fromSobeq/may/probe/stackoverflow1modified.sy,https=//stackoverflow.com/questions/11891093/excel-function-to-replace-substring,Primitive,Without Side Effects,880,28.033024 MB,1585,294,5,1,3,9,"[' ', ' Inc', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 572807}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 50374617}, 'statistics': {'Evaluated': 512, 'BankSize': 67, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 3465756}, 'statistics': {'Evaluated': 1073, 'BankSize': 227, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.slice(0, _arg_0.indexOf(' Inc'))"", ""_arg_0.split(' Inc')[0]""]",3,1
exceljet1modified,0.054922,"_arg_1.replaceAll(""_"", """").slice(_arg_1.indexOf(""_""))",,0,tasks/benchmarks/fromSobeq/may/probe/exceljet1modified.sy,https=//exceljet.net/formula/get-domain-from-email-address,Primitive,Without Side Effects,881,29.097984 MB,1285,213,14,1,3,8,"[' ', '_', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 502480}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 52009269}, 'statistics': {'Evaluated': 805, 'BankSize': 113, 'FoundContextCount': 10, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 1982702}, 'statistics': {'Evaluated': 480, 'BankSize': 100, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 8}}]","[""_arg_1.replace('_','').slice(_arg_1.indexOf('_'))"", ""_arg_1.split('_')[1]"", ""_arg_1.slice(1).slice(_arg_1.indexOf('_'))""]",3,2
RemoveMax,0.055559,"list.sort((a, b)=>a - b).pop()",,2,tasks/benchmarks/fromSobeq/must/stateCopies/RemoveMax.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/MaxDouble.java,Primitive Objects,With Side Effects,879,28.598272 MB,1448,410,11,2,3,8,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 680970}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 48992775}, 'statistics': {'Evaluated': 320, 'BankSize': 41, 'FoundContextCount': 9, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 5142367}, 'statistics': {'Evaluated': 1128, 'BankSize': 369, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 8}}]","['list.sort((a, b)=>a - b).pop()']",3,1
exceljet4modified,0.056005,"_arg_0.split(""//"").pop()",,0,tasks/benchmarks/fromSobeq/may/probe/exceljet4modified.sy,https=//exceljet.net/formula/strip-protocol-and-trailing-slash-from-url,Primitive,Without Side Effects,880,29.097984 MB,1089,170,5,1,3,9,"[' ', '//', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 620351}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 52812029}, 'statistics': {'Evaluated': 512, 'BankSize': 57, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 2091871}, 'statistics': {'Evaluated': 577, 'BankSize': 113, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.replace('//', '').slice(_arg_0.indexOf('//'))"", ""_arg_0.split('//')[1]""]",3,1
seq,0.056452,"x.push(y), x",,1,tasks/benchmarks/new_ruse/simple/seq.sy,,Primitive Objects,With Side Effects,880,30.69952 MB,3946,1213,14,2,3,8,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 470844}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 46743687}, 'statistics': {'Evaluated': 509, 'BankSize': 48, 'FoundContextCount': 10, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 8892070}, 'statistics': {'Evaluated': 3437, 'BankSize': 1165, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 8}}]","['x.push(y), x']",2,2
DigitsToString,0.057604,"digits.reverse().join("""")",,1,tasks/benchmarks/fromSobeq/may/sobeq-new/DigitsToString.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/may/sobeq-new/DigitsToString.sy,Primitive Objects,With Side Effects,879,29.097984 MB,4861,914,10,2,3,8,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 394026}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 47449519}, 'statistics': {'Evaluated': 315, 'BankSize': 40, 'FoundContextCount': 8, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 9279425}, 'statistics': {'Evaluated': 4546, 'BankSize': 874, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 8}}]","[""digits.reverse().join('')""]",1,1
stackoverflow6modified,0.05879,"_arg_0.split(""= "").pop()",,0,tasks/benchmarks/fromSobeq/may/probe/stackoverflow6modified.sy,https=//stackoverflow.com/questions/28627624/excel-single-cell-to-multiple-rows-and-get-substring,Primitive,Without Side Effects,880,29.10208 MB,1450,229,5,1,3,8,"[' ', '= ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 412953}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 55478110}, 'statistics': {'Evaluated': 512, 'BankSize': 56, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 2491239}, 'statistics': {'Evaluated': 938, 'BankSize': 173, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 8}}]","[""_arg_0.replace('= ', '').slice(_arg_0.indexOf('= '))"", ""_arg_0.split('= ')[1]"", ""_arg_0.split('= ').slice(-1)[0]""]",2,1
remove-text-by-positionmodified,0.059488,"_arg_0.split(""/"").pop()",,0,tasks/benchmarks/fromSobeq/may/probe/remove-text-by-positionmodified.sy,https=//exceljet.net/formula/remove-text-by-position,Primitive,Without Side Effects,880,28.028928 MB,1797,310,5,1,3,9,"[' ', '/', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 606022}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 54608987}, 'statistics': {'Evaluated': 512, 'BankSize': 57, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 3889013}, 'statistics': {'Evaluated': 1285, 'BankSize': 253, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.replace('/','').slice(_arg_0.lastIndexOf('/'))"", ""_arg_0.split('/').slice(-1)[0]"", ""_arg_0.slice(1).slice(_arg_0.lastIndexOf('/'))""]",3,1
get-first-name-from-name-with-commamodified,0.059972,"_arg_0.split("","").at(-_arg_1)",,0,tasks/benchmarks/fromSobeq/may/probe/get-first-name-from-name-with-commamodified.sy,https=//exceljet.net/formula/get-first-name-from-name-with-comma,Primitive,Without Side Effects,881,28.028928 MB,7137,1478,11,1,3,8,"[' ', ',', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 538030}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 49103114}, 'statistics': {'Evaluated': 771, 'BankSize': 86, 'FoundContextCount': 7, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 9903117}, 'statistics': {'Evaluated': 6366, 'BankSize': 1392, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 8}}]","[""_arg_0.split(',')[2 - _arg_1]""]",3,2
MaxDouble,0.060707,"list.sort((a, b)=>a - b).pop()",,2,tasks/benchmarks/fromSobeq/may/LooPy/MaxDouble.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/MaxDouble.java,Primitive Objects,With Side Effects,879,29.544448 MB,1377,402,11,2,3,8,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 602070}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 52577329}, 'statistics': {'Evaluated': 320, 'BankSize': 41, 'FoundContextCount': 9, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 7074758}, 'statistics': {'Evaluated': 1057, 'BankSize': 361, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 8}}]","['list.sort((a, b)=>a - b).reverse()[0]', 'list.sort((n1, n2) => n1 - n2).pop()', 'list.sort((a, b)=>a - b).pop()', 'list.sort((a, b)=>a - b)[list.length - 1]', 'list.sort((a, b)=>a - b)[-1 + list.length]']",3,1
RotateQueueOnce,0.062075,queue.slice(1).concat(queue.shift()),,1,tasks/benchmarks/fromSobeq/may/sobeq-new/RotateQueueOnce.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/may/sobeq-new/RotateQueueOnce.sy,Primitive Objects,With Side Effects,879,29.10208 MB,2981,848,11,2,3,8,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 481276}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 51918114}, 'statistics': {'Evaluated': 320, 'BankSize': 42, 'FoundContextCount': 9, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 9179565}, 'statistics': {'Evaluated': 2661, 'BankSize': 806, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 8}}]","['queue.slice(1).concat([queue[0]])', 'queue.slice(1).concat(queue.slice(0, 1))', 'queue.slice(1).concat(Array(1).fill(queue[0]))', 'queue.splice(1, queue.length).concat(queue)', 'queue.splice(1).concat(queue)', 'queue.concat(queue).slice(1,queue.push(0))']",2,1
exceljet2modified,0.06221,"_arg_0.split(""."").pop()",,0,tasks/benchmarks/fromSobeq/may/probe/exceljet2modified.sy,https=//exceljet.net/formula/get-top-level-domain-tld,Primitive,Without Side Effects,880,29.097984 MB,2061,371,5,1,3,9,"[' ', '.', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 710763}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 56681206}, 'statistics': {'Evaluated': 512, 'BankSize': 62, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 4356893}, 'statistics': {'Evaluated': 1549, 'BankSize': 309, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.replace('.','').slice(_arg_0.lastIndexOf('.'))"", ""_arg_0.split('.').slice(-1)[0]"", ""_arg_0.slice(1).slice(_arg_0.lastIndexOf('.'))""]",3,1
abc,0.063236,(a + b) + c[0],,0,tasks/benchmarks/fromFrangel/other/abc.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/other/ABC.java,Primitive,Without Side Effects,881,28.61056 MB,5552,1071,26,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 409839}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 55888973}, 'statistics': {'Evaluated': 839, 'BankSize': 134, 'FoundContextCount': 21, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 6422448}, 'statistics': {'Evaluated': 4713, 'BankSize': 937, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]",['a + b + c'],1,3
elasticsearch_mergePaths,0.063783,"path.slice(0) + (""."" + field)",,0,tasks/benchmarks/fromFrangel/github/elasticsearch_mergePaths.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/github/ElasticSearchMergePaths.java,Primitive,Without Side Effects,881,28.54912 MB,6090,1215,14,1,3,9,"[' ', '.', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 531016}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 53733248}, 'statistics': {'Evaluated': 805, 'BankSize': 102, 'FoundContextCount': 10, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 9105921}, 'statistics': {'Evaluated': 5285, 'BankSize': 1113, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","['path + ""."" + field']",2,2
exceljet3modified,0.06439,"_arg_0.slice(1).slice(_arg_0.indexOf("" ""))",,0,tasks/benchmarks/fromSobeq/may/probe/exceljet3modified.sy,https=//exceljet.net/formula/remove-text-by-variable-position,Primitive,Without Side Effects,879,29.097984 MB,4220,622,4,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 515465}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 52952258}, 'statistics': {'Evaluated': 315, 'BankSize': 34, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 10408588}, 'statistics': {'Evaluated': 3905, 'BankSize': 588, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.replace(' ','').slice(_arg_0.indexOf(' '))"", ""_arg_0.split('= ')[1]"", ""_arg_0.slice(1).slice(_arg_0.indexOf(' '))""]",3,1
