name,total_time,found,error,found.num_mutations,path,source,oop_category,side_effects,opcode_count,max_vm_usage,stats.Evaluated,stats.BankSize,stats.FoundContextCount,stats.MaxMutatingOpcodes,stats.MaxDepth,stats.MaxSize,string_literals,num_literals,iterations,expected,examples_count,var_count
RemoveMax,0.043346,"list.sort((a, b)=>a - b).pop()",,2,tasks/benchmarks/fromSobeq/must/stateCopies/RemoveMax.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/MaxDouble.java,Primitive Objects,With Side Effects,879,29.683712 MB,1051,304,11,2,3,8,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 522791}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 39907394}, 'statistics': {'Evaluated': 320, 'BankSize': 41, 'FoundContextCount': 9, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 2617029}, 'statistics': {'Evaluated': 731, 'BankSize': 263, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 8}}]","['list.sort((a, b)=>a - b).pop()']",3,1
exceljet1modified,0.04424,"_arg_1.split(""_"").pop()",,0,tasks/benchmarks/fromSobeq/may/probe/exceljet1modified.sy,https=//exceljet.net/formula/get-domain-from-email-address,Primitive,Without Side Effects,881,28.38528 MB,4080,710,14,1,3,9,"[' ', '_', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 450301}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 37195971}, 'statistics': {'Evaluated': 805, 'BankSize': 105, 'FoundContextCount': 10, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 6264306}, 'statistics': {'Evaluated': 3275, 'BankSize': 605, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_1.replace('_','').slice(_arg_1.indexOf('_'))"", ""_arg_1.split('_')[1]"", ""_arg_1.slice(1).slice(_arg_1.indexOf('_'))""]",3,2
remove-text-by-positionmodified,0.044675,"_arg_0.split(""/"").pop()",,0,tasks/benchmarks/fromSobeq/may/probe/remove-text-by-positionmodified.sy,https=//exceljet.net/formula/remove-text-by-position,Primitive,Without Side Effects,880,30.478336 MB,869,136,5,1,3,9,"[' ', '/', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 446451}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 42702084}, 'statistics': {'Evaluated': 512, 'BankSize': 61, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 1269509}, 'statistics': {'Evaluated': 357, 'BankSize': 75, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.replace('/','').slice(_arg_0.lastIndexOf('/'))"", ""_arg_0.split('/').slice(-1)[0]"", ""_arg_0.slice(1).slice(_arg_0.lastIndexOf('/'))""]",3,1
stackoverflow6modified,0.046112,"_arg_0.split(""= "").pop()",,0,tasks/benchmarks/fromSobeq/may/probe/stackoverflow6modified.sy,https=//stackoverflow.com/questions/28627624/excel-single-cell-to-multiple-rows-and-get-substring,Primitive,Without Side Effects,880,28.381184 MB,837,126,5,1,3,8,"[' ', '= ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 451362}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 44273218}, 'statistics': {'Evaluated': 512, 'BankSize': 59, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 1122463}, 'statistics': {'Evaluated': 325, 'BankSize': 67, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 8}}]","[""_arg_0.replace('= ', '').slice(_arg_0.indexOf('= '))"", ""_arg_0.split('= ')[1]"", ""_arg_0.split('= ').slice(-1)[0]""]",2,1
RotateQueueOnce,0.046148,queue.slice(1).concat(queue.shift()),,1,tasks/benchmarks/fromSobeq/may/sobeq-new/RotateQueueOnce.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/may/sobeq-new/RotateQueueOnce.sy,Primitive Objects,With Side Effects,879,28.860416 MB,2370,715,11,2,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 480421}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 39433823}, 'statistics': {'Evaluated': 320, 'BankSize': 42, 'FoundContextCount': 9, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 5837619}, 'statistics': {'Evaluated': 2050, 'BankSize': 673, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 9}}]","['queue.slice(1).concat([queue[0]])', 'queue.slice(1).concat(queue.slice(0, 1))', 'queue.slice(1).concat(Array(1).fill(queue[0]))', 'queue.splice(1, queue.length).concat(queue)', 'queue.splice(1).concat(queue)', 'queue.concat(queue).slice(1,queue.push(0))']",2,1
partition-k-largest,0.04647,"nums.sort((a, b)=>a - b).splice(-k)",,2,tasks/benchmarks/fromSobeq/must/sobeq-new/partition-k-largest.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/must/sobeq-new/partition-k-largest.sy,Primitive Objects,With Side Effects,880,27.79136 MB,2850,1089,29,3,3,8,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 581784}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 41885211}, 'statistics': {'Evaluated': 563, 'BankSize': 76, 'FoundContextCount': 25, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 3697722}, 'statistics': {'Evaluated': 2287, 'BankSize': 1013, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 3, 'MaxDepth': 3, 'MaxSize': 8}}]","['nums.sort().splice(0, nums.length - k)[1]']",2,2
stackoverflow1modified,0.046509,"_arg_0.split("" Inc"").shift()",,0,tasks/benchmarks/fromSobeq/may/probe/stackoverflow1modified.sy,https=//stackoverflow.com/questions/11891093/excel-function-to-replace-substring,Primitive,Without Side Effects,880,30.326784 MB,2570,520,5,1,3,9,"[' ', ' Inc', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 412843}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 40804827}, 'statistics': {'Evaluated': 512, 'BankSize': 63, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 4825926}, 'statistics': {'Evaluated': 2058, 'BankSize': 457, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.slice(0, _arg_0.indexOf(' Inc'))"", ""_arg_0.split(' Inc')[0]""]",3,1
get-last-wordmodified,0.046719,"_arg_0.split("" "").pop()",,0,tasks/benchmarks/fromSobeq/may/probe/get-last-wordmodified.sy,https=//exceljet.net/formula/get-last-word,Primitive,Without Side Effects,879,28.38528 MB,546,77,4,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 455057}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 44044979}, 'statistics': {'Evaluated': 315, 'BankSize': 31, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 1959305}, 'statistics': {'Evaluated': 231, 'BankSize': 46, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.replace(' ','').slice(_arg_0.lastIndexOf(' '))"", ""_arg_0.split(' ').slice(-1)[0]"", ""_arg_0.slice(1).slice(_arg_0.lastIndexOf(' '))""]",3,1
MaxDouble,0.046776,"list.sort((a, b)=>a - b).pop()",,2,tasks/benchmarks/fromSobeq/may/LooPy/MaxDouble.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/controlstructures/MaxDouble.java,Primitive Objects,With Side Effects,879,28.893184 MB,952,269,11,2,3,8,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 563869}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 43326199}, 'statistics': {'Evaluated': 320, 'BankSize': 41, 'FoundContextCount': 9, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 2653796}, 'statistics': {'Evaluated': 632, 'BankSize': 228, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 8}}]","['list.sort((a, b)=>a - b).reverse()[0]', 'list.sort((n1, n2) => n1 - n2).pop()', 'list.sort((a, b)=>a - b).pop()', 'list.sort((a, b)=>a - b)[list.length - 1]', 'list.sort((a, b)=>a - b)[-1 + list.length]']",3,1
exceljet3modified,0.048126,"_arg_0.slice(1).slice(_arg_0.indexOf("" ""))",,0,tasks/benchmarks/fromSobeq/may/probe/exceljet3modified.sy,https=//exceljet.net/formula/remove-text-by-variable-position,Primitive,Without Side Effects,879,28.381184 MB,4011,486,4,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 477506}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 41466297}, 'statistics': {'Evaluated': 315, 'BankSize': 32, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 5908425}, 'statistics': {'Evaluated': 3696, 'BankSize': 454, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.replace(' ','').slice(_arg_0.indexOf(' '))"", ""_arg_0.split('= ')[1]"", ""_arg_0.slice(1).slice(_arg_0.indexOf(' '))""]",3,1
binary_search_tree_valid,0.048498,tree.valid(),,0,tasks/benchmarks/new_ruse/binary_search_tree/binary_search_tree_valid.sy,,Full OOP,Without Side Effects,1181,33.718272 MB,22,14,2,0,2,2,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 580449}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 47699695}, 'statistics': {'Evaluated': 17, 'BankSize': 9, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 2}}]",['tree.valid()'],2,1
NegativeIndex,0.048582,str.indexOf(char) - str.length,,0,tasks/benchmarks/fromSobeq/may/sobeq-new/NegativeIndex.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/may/sobeq-new/NegativeIndex.sy,Primitive,Without Side Effects,880,28.229632 MB,4135,714,12,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 479842}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 43946526}, 'statistics': {'Evaluated': 526, 'BankSize': 84, 'FoundContextCount': 8, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 3952948}, 'statistics': {'Evaluated': 3609, 'BankSize': 630, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]",['str.indexOf(char) - str.length'],2,2
exceljet2modified,0.048787,"_arg_0.split(""."").pop()",,0,tasks/benchmarks/fromSobeq/may/probe/exceljet2modified.sy,https=//exceljet.net/formula/get-top-level-domain-tld,Primitive,Without Side Effects,880,28.381184 MB,1055,172,5,1,3,9,"[' ', '.', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 499545}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 46512076}, 'statistics': {'Evaluated': 512, 'BankSize': 59, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 1492362}, 'statistics': {'Evaluated': 543, 'BankSize': 113, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.replace('.','').slice(_arg_0.lastIndexOf('.'))"", ""_arg_0.split('.').slice(-1)[0]"", ""_arg_0.slice(1).slice(_arg_0.lastIndexOf('.'))""]",3,1
extract-nth-word-from-text-stringmodified,0.049144,"_arg_0.split("" "")[_arg_1 - 1]",,0,tasks/benchmarks/fromSobeq/may/probe/extract-nth-word-from-text-stringmodified.sy,https=//exceljet.net/formula/extract-nth-word-from-text-string,Primitive,Without Side Effects,880,28.872704 MB,5197,1276,10,1,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 417800}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 42314485}, 'statistics': {'Evaluated': 519, 'BankSize': 54, 'FoundContextCount': 6, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 6131958}, 'statistics': {'Evaluated': 4678, 'BankSize': 1222, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 9}}]","[""_arg_0.split(' ')[_arg_1 - 1]""]",3,2
elasticsearch_mergePaths,0.049581,"(path + ""."") + field",,0,tasks/benchmarks/fromFrangel/github/elasticsearch_mergePaths.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/github/ElasticSearchMergePaths.java,Primitive,Without Side Effects,881,27.230208 MB,4338,819,14,1,3,8,"[' ', '.', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 463265}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 45178057}, 'statistics': {'Evaluated': 805, 'BankSize': 134, 'FoundContextCount': 10, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 3653865}, 'statistics': {'Evaluated': 3533, 'BankSize': 685, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 8}}]","['path + ""."" + field']",2,2
DigitsToString,0.049616,"digits.reverse().join("""")",,1,tasks/benchmarks/fromSobeq/may/sobeq-new/DigitsToString.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/may/sobeq-new/DigitsToString.sy,Primitive Objects,With Side Effects,879,28.85632 MB,4401,882,10,2,3,8,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 418339}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 43002963}, 'statistics': {'Evaluated': 315, 'BankSize': 40, 'FoundContextCount': 8, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 5933498}, 'statistics': {'Evaluated': 4086, 'BankSize': 842, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 8}}]","[""digits.reverse().join('')""]",1,1
x_y_mut_inc,0.049696,(++x) + (++y),,2,tasks/benchmarks/new_ruse/simple/x_y_mut_inc.sy,,Primitive,With Side Effects,880,27.230208 MB,7799,2489,16,2,3,7,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 442001}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 42433398}, 'statistics': {'Evaluated': 562, 'BankSize': 56, 'FoundContextCount': 12, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 6591940}, 'statistics': {'Evaluated': 7237, 'BankSize': 2433, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 7}}]","['(++x) + (++y)', '(++y) + (++x)']",2,2
